Energi (kal),Protein (g),Lemak (g),Gula (g),Serat (g),Natrium (mg),Grade
190,14.8,2.3,8.8,0,0.5,B
188,9,2.5,24,0,0.1,C
245,5.6,0.6,37.6,0,1.1,C
266,6.2,0.7,49.9,0,1.4,C
173,4.1,0.1,3.3,0,1.5,B
58,3.8,0.2,6,0,0.8,A
375,4.6,11.3,37.2,0,0.7,E
121,13,0.4,12,0,0.5,A
244,6.9,9.8,20.3,0,0.77,D
273,10.5,1.1,32.3,8,0.76,B
326,3.5,13,31,0,0.32,D
237,7.3,9.4,20,1.1,0.1,C
258,7.5,11,18,1.4,0.36,D
211,5.2,7.3,20,0,0.75,C
385,8.9,7.4,31,0,1.3,D
155,5.4,1.3,13.2,4.4,1.1,A
255,6.8,11,19,1.2,1,D
264,6.7,12,18,0,1.3,D
243,7.4,8.3,25,0,0.1,D
226,7.8,9.1,17,0,0.1,C
151,10.6,6.7,5.3,0,0.1,C
172,6.8,9.3,6.7,0,1.2,C
167,6.5,8.2,3,0,1.1,C
300,12.2,8.1,24.6,2,1.3,C
325,11.8,11,22.09,0,0.2,D
330,11.7,7.7,27.6,0,1,D
130,6.3,4.3,9.4,1,0.83,C
169,6.8,3.8,10.3,0,1.1,C
140,4.6,5.5,5.1,0.5,1.5,C
159,3.7,1.5,29,0,0.42,C
162,20.8,2.7,1.7,0,0.91,A
206,16,4.2,1.7,0,1,B
198,3.5,3,36,0,1,D
246,3.3,4.9,40,0,1,D
275,4.6,6,39.1,0,0.86,D
292,2,0.100000001,65,0,0.88,D
245,13.9,1.7,22.4,0.9,0.74,B
285,15.1,7.3,26,0,1.42,C
0,3.6,0,2.9,1.8,1.69,A
2.564102564,64.1025641,3.846153846,17.94871795,0,1.8,B
234,13,2.8,18,0,0.58,C
60,0,0,14,0,0.6,C
0,0,0,0,0,4.9,B
521,7.2,9.5,60.7,0,1.1,E
2,34,1,0.5,0,0.32,A
828,0,14,0,0,1.1,E
425,15,1.25,75,12.5,0.29,C
343,25.7,0,62.9,11.4,0.13,C
526,8.2,15,60,0,0.6,E
545,6.1,20,57,0,0,E
0,3.6,0,7.5,0,1.42,A
470,8.7,10.8,11.4,0,1.28,D
260,34,0.1,30,3.5,0,A
102,1.2,0.1,23.2,0,0.897435897,C
102,1.2,0.1,23.2,0,1.4,C
0,0,0,10.4,0,0,B
361,7.35,7.88,52.5,0,0,D
269,9,0.53,52.6,0,0.559,C
0,0,0,0,0,4.3,B
400,40,2.5,42.5,15,0,C
271,9.6,0.4,46,0,0,C
1.965,6.6,2.2,0.7,0,0,A
375,35,8.2,2.5,0,0.69,C
97,4,2.5,7,1,0.18,B
317,4.6,14.5,24.8,0,0,D
264,30,1,40,0,2.5,C
264,10,0.6,40.5,0,10.8,C
453.125,9.375,9.375,60.9375,3.125,1.8,D
380,92,0.2,0.7,0,1.8,A
442,6.4,2.6,54,1.4,0.1,D
39,1.5,0.100000001,6.5,3,0.27,A
465,6,13.8,46.5,0,1.44,E
617,8,10,36,0,0,E
399,0.3,0.1,95,0,1.75,D
377,40.5,12.28999996,2.400000095,0,1.44,C
377,40.5,12.29,2.4,0,1.9,C
171,12,6.8,3.5,0,3.4,C
1630,9.600000381,2.5,66,8.199999809,1.5,D
377,40.5,12.29,2.4,0,0.11,C
0,0,0,70,0,1,C
0,0,0,1.47,0,1.2,B
0,0,0,53.33,0,0.5859375,C
0,0,0,60,0,0.5,C
267,66.67,0,60,0,0.53,C
0,66.67,0,60,0,0,C
0,0,0,2.67,0,0.649,B
0,0,0,3.33,0,0.01,B
0,0,0,3.33,0,0,B
0,0,0,3.33,0,0,B
0,0,0,0,0,3.85,B
0,0,0,3.33,0,1.6,B
0,0,0,100,0,0,C
357.1428571,7.142857143,0,39.28571429,0,0.25,C
120,0,0,5,0,0.75,B
150,16.66666667,5,3.333333333,0,0.01,B
66.66666667,3.333333333,1.458333333,8.75,0,0,B
714.2857143,0,50,0,0,1,D
45.83333333,3.333333333,0.833333333,5,0,0.33782,A
79.16666667,3.333333333,0.833333333,13.33333333,0,0.33782,B
269.2307692,15.38461538,2.884615385,38.46153846,0,0,C
95,8,3,6.5,0.5,0,B
70.58823529,3.529411765,2.058823529,7.058823529,0,0,B
116.6666667,16.66666667,1.666666667,3.333333333,0,0,A
488,5.199999809,15.5,55.79999924,0,0,E
36.61971831,0,0,8.732394366,0,0,B
253.5211268,18.30985915,8.450704225,0,0,0,C
232.1428571,32.14285714,3.75,0,0,0,B
169.6428571,19.64285714,4.017857143,0,0,0,B
419,0,0,91.2,0,0.791666667,D
300,3,0,69,4,0.125,C
750,15.90909091,6.818181818,0,0,0,C
857,0,7.14,0,0,0.109375,D
0.14084507,0,0,0,0,0.119791667,B
656.25,21.875,4.6875,18.75,0,0.480769231,D
643,0,10.71,0,0,0.575,D
571,0,10.71,0,0,0.139705882,D
266.6666667,66.66666667,0,10,100,0.791666667,A
380.952381,40.47619048,2.380952381,40.47619048,14.28571429,0.589999974,C
0,0,0,0,0,0,B
